year,doy,agb,yield,fint,lai,gdd
1973,330,56.12627128042,0.0,0.3337947425138913,0.6769291025005117,415.0015000000001
1973,331,57.34459633779,0.0,0.33616385382489655,0.6828665462774466,423.4055000000001
1973,332,59.08432070300745,0.0,0.3405299376302474,0.6938645038177995,435.51200000000006
1973,333,60.03580400514698,0.0,0.34130638945301306,0.6958279724636648,442.39050000000003
1973,334,60.035804005146986,0.0,0.3381568858953271,0.6878778981474276,444.77900000000005
1973,335,62.162534913843785,0.0,0.3437193808794844,0.701944680762147,452.93550000000005
1973,336,62.16253491384379,0.0,0.3404331869658561,0.6936200055621179,455.91850000000005
1973,337,64.22934551864701,0.0,0.34542091051024204,0.7062714356269162,464.61050000000006
1973,338,66.74552943963413,0.0,0.3516604417384246,0.7222345170200962,476.76000000000005
1973,339,67.55057971178563,0.0,0.35099087861186606,0.7205141797494,489.31700000000006
1973,340,67.74595856467204,0.0,0.34809654374495114,0.713098002079766,496.1770000000001
1973,341,67.74595856467204,0.0,0.3446034742433135,0.7041914061375263,496.1770000000001
1973,342,67.74595856467204,0.0,0.3412195486103512,0.6956082569608538,496.1770000000001
1973,343,67.74595856467202,0.0,0.33794137538750557,0.6873352835826589,497.49550000000005
1973,344,67.74595856467204,0.0,0.3347726970174074,0.6793774795554831,497.49550000000005
1973,345,67.74595856467202,0.0,0.3317030338445359,0.6717044068668188,497.49550000000005
1973,346,67.74595856467204,0.0,0.3287292603192291,0.6643045608879982,497.49550000000005
1973,347,67.74595856467204,0.0,0.3258483370704226,0.6571669569991667,498.22850000000005
1973,348,67.82339726507892,0.0,0.32336087116833745,0.6510286545840314,502.68250000000006
1973,349,67.82339726507891,0.0,0.3206717327921492,0.6444180189853125,502.68250000000006
1973,350,67.82339726507891,0.0,0.31806637519685954,0.6380382503509442,502.68250000000006
1973,351,67.82339726507891,0.0,0.31554211200981797,0.6318802640659774,502.68250000000006
1973,352,67.82339726507891,0.0,0.31309633780536394,0.6259353771583711,502.68250000000006
1973,353,67.82339726507891,0.0,0.3107265266726613,0.6201952888756637,502.68250000000006
1973,354,67.82339726507891,0.0,0.3084302306825144,0.6146520622539319,502.68250000000006
1973,355,67.82339726507891,0.0,0.30620507827112575,0.609298106626992,502.68250000000006
1973,356,67.82339726507892,0.0,0.30404877255691876,0.6041261610265586,502.68250000000006
1973,357,67.82339726507892,0.0,0.3019590896048504,0.5991292784266867,502.68250000000006
